"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33"
66.77,66.72,53.07,70,-31.25,-46.12,-84.85,8.631,-17.85,2.538,32.21,-45.26,-10.56,67.78,-39.49,39.58,-0.3795,-144.4,-74.71,38.27,-29.86,1.476,-9.627,-141,86.86,-54.11,120,46.08,0.79,4.07,-0.65,-4.89,-0.38
5.634,4.484,-25.06,10,-38.46,-45.89,-51.66,62.1,-24.89,-48.92,113,-3.235,-7.791,-92.65,-32.18,-18.37,142.3,-71.43,70.47,-108.1,14.71,72.29,154,-79.58,79.04,-25.85,40,7.511,0.94,-3.45,-3.37,-3.31,-4.43
-15.49,-16.08,55.16,30,-53.57,-10.31,-45.01,63.81,-77.21,NA,65.94,33.91,-1.827,9.233,-73.54,NA,76.19,62.48,111.5,57.63,33.88,-22.52,55.95,-27.87,25.52,75.4,60,-15.38,3.9,-2.79,-0.94,1.51,2.52
59.86,64.93,54.89,70,-31.25,-80.49,-104.9,-64.83,36,4.54,6.735,-77.53,47.07,-3.345,16.88,16,70.59,-20.13,40.5,-4.712,17.33,-80.58,31.04,-93.22,135.6,-83.42,110,56.87,1.16,-1.99,-4.78,3.73,3.04
-114.1,-108.7,41.47,10,-153.8,84.59,61.43,62.81,-95.22,104,92.51,-50.75,155.6,-10.89,-35.69,95.3,19.35,8.566,69.36,77.31,-113.8,-15.54,-149.9,-12.33,81.45,21.1,70,-85.48,-2.6,-2.53,-3.94,0.83,-4.48
228.9,232.8,-14.84,240,20.41,-83.46,-104.9,-58.39,76.32,-171.3,-46.4,88.34,-68.62,-111.5,35.11,-183.9,-97.12,80.74,-42.74,-303.3,146.7,203.8,49,16.53,12.28,66.01,250,205.7,3.19,-0.81,-4.3,3.64,-2.27
-109.2,-102.9,55.29,10,-134.6,67.79,41.47,108.7,-80.64,93.18,92.51,-51.62,137.7,9.233,-84.75,107.5,31.46,-41.87,92.67,29.74,-143,-25.82,-131.1,-48.49,85.06,76.63,60,-80.11,0.36,-0.62,0.66,-0.97,-3.41
73.94,71.97,-19.51,110,-83.33,-72.58,-84.92,100.5,-60.06,-17.5,37.1,-118.1,26.8,23.07,54.03,-30,26.8,-74.04,-152.6,36.3,121,-1.204,-66.97,-66.25,33.94,-137.3,120,64.38,-3.03,-0.19,-0.54,-1.4,-1.24
200,211.7,34.26,NA,0,-119,-124.8,-18.7,66.88,-102.9,-129.9,52.06,-112.7,-92.65,120.6,-157.4,-258.3,93.78,-269.2,-244.2,-34.52,141,16.74,NA,64.01,-33.2,230,164.2,-4.99,2.82,2.77,0.45,1.18
-147.9,-138.9,11.41,-140,-318.2,97.44,141.3,207.6,-279.6,57.07,-8.447,39.96,124.6,-82.59,-69.33,147.1,-52.4,50.31,62.7,-47.37,-132.1,-56.69,-174.8,33.35,-299.2,30.08,-90,-116.2,-2.02,2.29,-2.92,-3.35,-3.05
173.8,179.9,66.27,230,0,-115.5,-103.6,-90.94,66.55,-80.77,-166.9,54.69,-103.3,-124.3,60.06,-101.4,-158.2,19.72,-97.4,-228.9,-48.46,32.44,0.6906,-58.17,28.08,-116.2,230,145.9,-4.66,-4.07,-4.7,-3.23,-4.54
65.09,67.8,-0.4373,-30,-159.1,-25.85,-82.23,147.8,-51.36,11.77,66.47,-114.2,120,-58.75,2.236,34.5,50.28,-89.7,20.09,-140.7,110.5,-78.47,-49.82,-18.65,-97.36,-83.2,-10,53.94,4.62,3.58,-2.18,-0.19,1.48
-112.4,-107.5,-38.27,-100,-200,100.3,51.38,72.28,-191.8,91.96,20.25,-73.48,76.59,94.55,-181,55.85,-57.15,-35.33,20.09,113.7,-140.2,21.73,-193.1,-85.32,-64.5,-20.48,-40,-94.74,4.55,-1.85,-3.8,-3.52,-3.41
